"scenario";"sntc_type";"sequence";"subject";"negation";"action";"object";"preposition";"object2";"parsing_class";"original_stnc";"sntc_id";"trace"
"1";"SR";"1";"user";"";"choose";""disable crash reports"";;;"ImperativeSequencePP";"";"1.5";""
"1";"SR";"2";"user";"";"click";"done";;;"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"3";"user";"";"click";"Dismiss";;;"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"4";"user";"";"click";"Assets";;;"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"5";"user";"";"click";"Current Assets";;;"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"6";"user";"";"click";"create transaction";;;"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"7";"user";"";"type";""Test"";"on";"Description";"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"8";"user";"";"type";"100";"on";"Amount";"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"9";"user";"";"click";"Save";;;"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"10";"user";"";"click";"Cash in Wallet";;;"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"11";"user";"";"click";"Test";;;"ImperativeSequencePP";"click done";"1.7";""
"1";"SR";"3";"user";"";"click";;"on";"FAB edit button";"ActionsInfinitivePP";"Click on edit FAB button";"1.3";""
"1";"SR";"4";"user";"";"click";;"on";"split icon";"ActionsInfinitivePP";"Click on split icon";"1.4";""
"1";"SR";"5";"user";"";"add";"money got";"on";"split memo";"ActionsInfinitivePP";"Add memo to 1 or more splits";"1.5";""
"1";"SR";"6";"user";"";"click";""save"";;;"ActionsInfinitivePP";"Click "save"";"1.6";""
"1";"SR";"6";"user";"";"click";""save"";;;"ActionsInfinitivePP";"Click "save"";"1.6";""
"1";"SR";"3";"user";"";"click";;"on";"FAB edit button";"ActionsInfinitivePP";"Click on edit FAB button";"1.3";""
"1";"SR";"4";"user";"";"click";;"on";"split icon";"ActionsInfinitivePP";"Click on split icon";"1.4";""
